Tera Type,Atk 1,Atk 2,GOOD,Ok,Bad,Weak To
Normal,Unknown,,Fighting,,,Fighting
Normal,Normal,,,Fighting,,Fighting
Normal,Normal,Fighting,,Fighting,"Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Normal,Flying,,,"Fighting, Bug, Grass",Fighting
Normal,Normal,Poison,,Fighting,"Grass, Fairy",Fighting
Normal,Normal,Ground,,Fighting,"Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Normal,Rock,Fighting,,"Flying, Bug, Fire, Ice",Fighting
Normal,Normal,Bug,Fighting,,"Grass, Psychic, Dark",Fighting
Normal,Normal,Ghost,,Fighting,"Ghost, Psychic",Fighting
Normal,Normal,Steel,,Fighting,"Rock, Ice, Fairy",Fighting
Normal,Normal,Fire,,Fighting,"Bug, Steel, Grass, Ice",Fighting
Normal,Normal,Water,,Fighting,"Ground, Rock, Fire",Fighting
Normal,Normal,Grass,,Fighting,"Ground, Rock, Water",Fighting
Normal,Normal,Electric,,Fighting,"Flying, Water",Fighting
Normal,Normal,Psychic,,,"Fighting, Poison",Fighting
Normal,Normal,Ice,,Fighting,"Flying, Ground, Grass, Dragon",Fighting
Normal,Normal,Dragon,,Fighting,Dragon,Fighting
Normal,Normal,Dark,Fighting,,"Ghost, Psychic",Fighting
Normal,Normal,Fairy,,,"Fighting, Dragon, Dark",Fighting
Normal,Fighting,Normal,,Fighting,"Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Fighting,,,Fighting,"Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Fighting,Flying,,,"Normal, Rock, Steel, Ice, Dark, Fighting, Bug, Grass",Fighting
Normal,Fighting,Poison,,Fighting,"Normal, Rock, Steel, Ice, Dark, Grass, Fairy",Fighting
Normal,Fighting,Ground,,Fighting,"Normal, Rock, Steel, Ice, Dark, Poison, Fire, Electric",Fighting
Normal,Fighting,Rock,Fighting,,"Normal, Rock, Steel, Ice, Dark, Flying, Bug, Fire",Fighting
Normal,Fighting,Bug,Fighting,,"Normal, Rock, Steel, Ice, Dark, Grass, Psychic",Fighting
Normal,Fighting,Ghost,,Fighting,"Normal, Rock, Steel, Ice, Dark, Ghost, Psychic",Fighting
Normal,Fighting,Steel,,Fighting,"Normal, Rock, Steel, Ice, Dark, Fairy",Fighting
Normal,Fighting,Fire,,Fighting,"Normal, Rock, Steel, Ice, Dark, Bug, Grass",Fighting
Normal,Fighting,Water,,Fighting,"Normal, Rock, Steel, Ice, Dark, Ground, Fire",Fighting
Normal,Fighting,Grass,,Fighting,"Normal, Rock, Steel, Ice, Dark, Ground, Water",Fighting
Normal,Fighting,Electric,,Fighting,"Normal, Rock, Steel, Ice, Dark, Flying, Water",Fighting
Normal,Fighting,Psychic,,,"Normal, Rock, Steel, Ice, Dark, Fighting, Poison",Fighting
Normal,Fighting,Ice,,Fighting,"Normal, Rock, Steel, Ice, Dark, Flying, Ground, Grass, Dragon",Fighting
Normal,Fighting,Dragon,,Fighting,"Normal, Rock, Steel, Ice, Dark, Dragon",Fighting
Normal,Fighting,Dark,Fighting,,"Normal, Rock, Steel, Ice, Dark, Ghost, Psychic",Fighting
Normal,Fighting,Fairy,,,"Normal, Rock, Steel, Ice, Dark, Fighting, Dragon",Fighting
Normal,Flying,Normal,,,"Fighting, Bug, Grass",Fighting
Normal,Flying,Fighting,,,"Fighting, Bug, Grass, Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Flying,,,,"Fighting, Bug, Grass",Fighting
Normal,Flying,Poison,,,"Fighting, Bug, Grass, Fairy",Fighting
Normal,Flying,Ground,,,"Fighting, Bug, Grass, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Flying,Rock,,,"Fighting, Bug, Grass, Flying, Fire, Ice",Fighting
Normal,Flying,Bug,,,"Fighting, Bug, Grass, Psychic, Dark",Fighting
Normal,Flying,Ghost,,,"Fighting, Bug, Grass, Ghost, Psychic",Fighting
Normal,Flying,Steel,,,"Fighting, Bug, Grass, Rock, Ice, Fairy",Fighting
Normal,Flying,Fire,,,"Fighting, Bug, Grass, Steel, Ice",Fighting
Normal,Flying,Water,,,"Fighting, Bug, Grass, Ground, Rock, Fire",Fighting
Normal,Flying,Grass,,,"Fighting, Bug, Grass, Ground, Rock, Water",Fighting
Normal,Flying,Electric,,,"Fighting, Bug, Grass, Flying, Water",Fighting
Normal,Flying,Psychic,,,"Fighting, Bug, Grass, Poison",Fighting
Normal,Flying,Ice,,,"Fighting, Bug, Grass, Flying, Ground, Dragon",Fighting
Normal,Flying,Dragon,,,"Fighting, Bug, Grass, Dragon",Fighting
Normal,Flying,Dark,,,"Fighting, Bug, Grass, Ghost, Psychic",Fighting
Normal,Flying,Fairy,,,"Fighting, Bug, Grass, Dragon, Dark",Fighting
Normal,Poison,Normal,,Fighting,"Grass, Fairy",Fighting
Normal,Poison,Fighting,,Fighting,"Grass, Fairy, Normal, Rock, Steel, Ice, Dark",Fighting
Normal,Poison,Flying,,,"Grass, Fairy, Fighting, Bug",Fighting
Normal,Poison,,,Fighting,"Grass, Fairy",Fighting
Normal,Poison,Ground,,Fighting,"Grass, Fairy, Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Poison,Rock,Fighting,,"Grass, Fairy, Flying, Bug, Fire, Ice",Fighting
Normal,Poison,Bug,Fighting,,"Grass, Fairy, Psychic, Dark",Fighting
Normal,Poison,Ghost,,Fighting,"Grass, Fairy, Ghost, Psychic",Fighting
Normal,Poison,Steel,,Fighting,"Grass, Fairy, Rock, Ice",Fighting
Normal,Poison,Fire,,Fighting,"Grass, Fairy, Bug, Steel, Ice",Fighting
Normal,Poison,Water,,Fighting,"Grass, Fairy, Ground, Rock, Fire",Fighting
Normal,Poison,Grass,,Fighting,"Grass, Fairy, Ground, Rock, Water",Fighting
Normal,Poison,Electric,,Fighting,"Grass, Fairy, Flying, Water",Fighting
Normal,Poison,Psychic,,,"Grass, Fairy, Fighting, Poison",Fighting
Normal,Poison,Ice,,Fighting,"Grass, Fairy, Flying, Ground, Dragon",Fighting
Normal,Poison,Dragon,,Fighting,"Grass, Fairy, Dragon",Fighting
Normal,Poison,Dark,Fighting,,"Grass, Fairy, Ghost, Psychic",Fighting
Normal,Poison,Fairy,,,"Grass, Fairy, Fighting, Dragon, Dark",Fighting
Normal,Ground,Normal,,Fighting,"Poison, Rock, Steel, Fire, Electric",Fighting
Normal,Ground,Fighting,,Fighting,"Poison, Rock, Steel, Fire, Electric, Normal, Ice, Dark",Fighting
Normal,Ground,Flying,,,"Poison, Rock, Steel, Fire, Electric, Fighting, Bug, Grass",Fighting
Normal,Ground,Poison,,Fighting,"Poison, Rock, Steel, Fire, Electric, Grass, Fairy",Fighting
Normal,Ground,,,Fighting,"Poison, Rock, Steel, Fire, Electric",Fighting
