Name,Tera Type,G-Atk,G-Def,GOOD,Ok,Bad,Weak To,Types
Sprigatito,Normal,SpA,Def,,Fighting,"Ground, Rock, Water",Fighting,Grass
Sprigatito,Fighting,SpA,Def,Flying,"Psychic, Fairy","Ground, Rock, Water","Flying, Psychic, Fairy",Grass
Sprigatito,Flying,SpA,Def,,"Electric, Ice","Ground, Rock, Water","Rock, Electric, Ice",Grass
Sprigatito,Poison,SpA,Def,,Psychic,"Ground, Rock, Water","Ground, Psychic",Grass
Sprigatito,Ground,SpA,Def,Grass,Ice,"Ground, Rock, Water","Water, Grass, Ice",Grass
Sprigatito,Rock,SpA,Def,"Steel, Grass",Fighting,"Ground, Rock, Water","Fighting, Ground, Steel, Water, Grass",Grass
Sprigatito,Bug,SpA,Def,"Flying, Fire",,"Ground, Rock, Water","Flying, Rock, Fire",Grass
Sprigatito,Ghost,SpA,Def,,"Ghost, Dark","Ground, Rock, Water","Ghost, Dark",Grass
Sprigatito,Steel,SpA,Def,Fire,Fighting,"Ground, Rock, Water","Fighting, Ground, Fire",Grass
Sprigatito,Fire,SpA,Def,,,"Ground, Rock, Water","Ground, Rock, Water",Grass
Sprigatito,Water,SpA,Def,Grass,Electric,"Ground, Rock, Water","Grass, Electric",Grass
Sprigatito,Grass,SpA,Def,"Flying, Poison, Bug, Fire",Ice,"Ground, Rock, Water","Flying, Poison, Bug, Fire, Ice",Grass
Sprigatito,Electric,SpA,Def,,,"Ground, Rock, Water",Ground,Grass
Sprigatito,Psychic,SpA,Def,Bug,"Ghost, Dark","Ground, Rock, Water","Bug, Ghost, Dark",Grass
Sprigatito,Ice,SpA,Def,"Steel, Fire",Fighting,"Ground, Rock, Water","Fighting, Rock, Steel, Fire",Grass
Sprigatito,Dragon,SpA,Def,Dragon,"Ice, Fairy","Ground, Rock, Water","Ice, Dragon, Fairy",Grass
Sprigatito,Dark,SpA,Def,Bug,"Fighting, Fairy","Ground, Rock, Water","Fighting, Bug, Fairy",Grass
Sprigatito,Fairy,SpA,Def,"Poison, Steel",,"Ground, Rock, Water","Poison, Steel",Grass
Floragato,Normal,Any,Def,,Fighting,"Ground, Rock, Water",Fighting,Grass
Floragato,Fighting,Any,Def,Flying,"Psychic, Fairy","Ground, Rock, Water","Flying, Psychic, Fairy",Grass
Floragato,Flying,Any,Def,,"Electric, Ice","Ground, Rock, Water","Rock, Electric, Ice",Grass
Floragato,Poison,Any,Def,,Psychic,"Ground, Rock, Water","Ground, Psychic",Grass
Floragato,Ground,Any,Def,Grass,Ice,"Ground, Rock, Water","Water, Grass, Ice",Grass
Floragato,Rock,Any,Def,"Steel, Grass",Fighting,"Ground, Rock, Water","Fighting, Ground, Steel, Water, Grass",Grass
Floragato,Bug,Any,Def,"Flying, Fire",,"Ground, Rock, Water","Flying, Rock, Fire",Grass
Floragato,Ghost,Any,Def,,"Ghost, Dark","Ground, Rock, Water","Ghost, Dark",Grass
Floragato,Steel,Any,Def,Fire,Fighting,"Ground, Rock, Water","Fighting, Ground, Fire",Grass
Floragato,Fire,Any,Def,,,"Ground, Rock, Water","Ground, Rock, Water",Grass
Floragato,Water,Any,Def,Grass,Electric,"Ground, Rock, Water","Grass, Electric",Grass
Floragato,Grass,Any,Def,"Flying, Poison, Bug, Fire",Ice,"Ground, Rock, Water","Flying, Poison, Bug, Fire, Ice",Grass
Floragato,Electric,Any,Def,,,"Ground, Rock, Water",Ground,Grass
Floragato,Psychic,Any,Def,Bug,"Ghost, Dark","Ground, Rock, Water","Bug, Ghost, Dark",Grass
Floragato,Ice,Any,Def,"Steel, Fire",Fighting,"Ground, Rock, Water","Fighting, Rock, Steel, Fire",Grass
Floragato,Dragon,Any,Def,Dragon,"Ice, Fairy","Ground, Rock, Water","Ice, Dragon, Fairy",Grass
Floragato,Dark,Any,Def,Bug,"Fighting, Fairy","Ground, Rock, Water","Fighting, Bug, Fairy",Grass
